FID,id,site_id,country,owner,area_name,status,farmtype,prod_method,prod_stage,purpose,species,position_info,point_def,distance_to_shore_m,costal_inland,the_geom,eurostatcode,species_group,species_name,speciesid,x,y
shellfish.4866,1619,IE_0838,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,482.30281339,At sea,POINT (-6.96741793099994 52.203568438),F53,Oysters,n.a.,128,-6.96741793099994,52.203568438
shellfish.4867,1620,IE_0839,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,358.9589671,At sea,POINT (-6.96631150099995 52.20679039),F53,Oysters,n.a.,128,-6.96631150099995,52.20679039
shellfish.4868,1621,IE_0840,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,571.59989336,At sea,POINT (-6.96815412699993 52.20139665),F53,Oysters,n.a.,128,-6.96815412699993,52.20139665
shellfish.4872,1595,IE_0843,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,256.04248808,At sea,POINT (-7.29665985199995 55.2983415210001),F53,Oysters,n.a.,128,-7.29665985199995,55.2983415210001
shellfish.4874,1591,IE_0845,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,43.4978481,At sea,POINT (-10.264201514 51.913468235),F53,Oysters,n.a.,128,-10.264201514,51.913468235
shellfish.4875,1592,IE_0846,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,250.12648749,At sea,POINT (-7.50477239799994 55.1651135990001),F53,Oysters,n.a.,128,-7.50477239799994,55.1651135990001
shellfish.4876,1593,IE_0847,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,237.2674429,At sea,POINT (-8.13683728299998 54.6131824500001),F53,Oysters,n.a.,128,-8.13683728299998,54.6131824500001
shellfish.4877,1594,IE_0848,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,247.82136148,At sea,POINT (-8.13558376299994 54.6125106050001),F53,Oysters,n.a.,128,-8.13558376299994,54.6125106050001
shellfish.4878,1603,IE_0849,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,113.53718656,At sea,POINT (-8.14017280599995 54.615451448),F53,Oysters,n.a.,128,-8.14017280599995,54.615451448
shellfish.4879,1604,IE_0850,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,333.21204042,At sea,POINT (-9.61640667599994 53.7889057690001),F53,Oysters,n.a.,128,-9.61640667599994,53.7889057690001
shellfish.4880,1605,IE_0851,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,198.02797387,At sea,POINT (-9.60309817799993 53.789662229),F53,Oysters,n.a.,128,-9.60309817799993,53.789662229
shellfish.4881,1606,IE_0852,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,349.12371889,At sea,POINT (-8.15370016199995 54.631540312),F53,Oysters,n.a.,128,-8.15370016199995,54.631540312
shellfish.4882,1599,IE_0853,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,92.84270201,At sea,POINT (-8.14393315999996 54.6241751430001),F53,Oysters,n.a.,128,-8.14393315999996,54.6241751430001
shellfish.4883,1600,IE_0854,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,113.51355417,At sea,POINT (-8.14115458099997 54.6296228030001),F53,Oysters,n.a.,128,-8.14115458099997,54.6296228030001
shellfish.4884,1601,IE_0855,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,35.39241104,At sea,POINT (-8.12637443799997 54.6252739720001),F53,Oysters,n.a.,128,-8.12637443799997,54.6252739720001
shellfish.4885,175,IE_0856,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,830.91130444,At sea,POINT (-8.52073810099995 54.292949848),F53,Oysters,n.a.,128,-8.52073810099995,54.292949848
shellfish.4886,176,IE_0857,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,942.00525029,At sea,POINT (-8.52337264899995 54.2928818560001),F53,Oysters,n.a.,128,-8.52337264899995,54.2928818560001
shellfish.4887,177,IE_0858,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,812.44709331,At sea,POINT (-8.53533080299997 54.294742324),F53,Oysters,n.a.,128,-8.53533080299997,54.294742324
