FID,id,site_id,country,owner,area_name,status,farmtype,prod_method,prod_stage,purpose,species,position_info,point_def,distance_to_shore_m,costal_inland,the_geom,eurostatcode,species_group,species_name,speciesid,x,y
shellfish.4167,6938,FR_0208,France,n.a.,Nord de la baie de Bourgneuf,n.a.,Mussels-Oysters,n.a.,n.a.,n.a.,"Mussels, Oysters",Polygon centroid,Production area,1070.44757205,At sea,POINT (-2.02351234299994 47.05819776),F54,Mussels,n.a.,126,-2.02351234299994,47.05819776
shellfish.4168,6938,FR_0208,France,n.a.,Nord de la baie de Bourgneuf,n.a.,Mussels-Oysters,n.a.,n.a.,n.a.,"Mussels, Oysters",Polygon centroid,Production area,1070.44757205,At sea,POINT (-2.02351234299994 47.05819776),F53,Oysters,n.a.,128,-2.02351234299994,47.05819776
shellfish.4293,1399,IE_0153,Ireland,n.a.,n.a.,Licensed,Mussels,n.a.,n.a.,n.a.,Mussels,Polygon centroid,Farm,173.45471086,At sea,POINT (-9.41100494899996 51.538732327),F54,Mussels,n.a.,126,-9.41100494899996,51.538732327
shellfish.4294,1400,IE_0154,Ireland,n.a.,n.a.,Licensed,Mussels,n.a.,n.a.,n.a.,Mussels,Polygon centroid,Farm,214.40199799,At sea,POINT (-9.44130284399995 51.5308770550001),F54,Mussels,n.a.,126,-9.44130284399995,51.5308770550001
shellfish.4295,1401,IE_0155,Ireland,n.a.,n.a.,Licensed,Mussels,n.a.,n.a.,n.a.,Mussels,Polygon centroid,Farm,534.85557203,At sea,POINT (-9.41358500599995 51.5260982250001),F54,Mussels,n.a.,126,-9.41358500599995,51.5260982250001
shellfish.4296,1402,IE_0156,Ireland,n.a.,n.a.,Licensed,Mussels,n.a.,n.a.,n.a.,Mussels,Polygon centroid,Farm,238.73545458,At sea,POINT (-9.43467748299997 51.535879896),F54,Mussels,n.a.,126,-9.43467748299997,51.535879896
shellfish.4297,1395,IE_0157,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,38.25506682,At sea,POINT (-8.16269098299995 54.633716463),F53,Oysters,n.a.,128,-8.16269098299995,54.633716463
shellfish.4298,1396,IE_0158,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,244.83130592,At sea,POINT (-8.16708279199997 54.6306566900001),F53,Oysters,n.a.,128,-8.16708279199997,54.6306566900001
shellfish.4299,1397,IE_0159,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,62.18685571,At sea,POINT (-9.85999167799997 52.119257342),F53,Oysters,n.a.,128,-9.85999167799997,52.119257342
shellfish.4300,1315,IE_0161,Ireland,n.a.,n.a.,Licensed,Oysters,n.a.,n.a.,n.a.,Oysters,Polygon centroid,Farm,246.78153721,At sea,POINT (-7.29362254099993 55.296457268),F53,Oysters,n.a.,128,-7.29362254099993,55.296457268
